"sequence_number","delta","gyro_x","gyro_y","gyro_z","accel_x","accel_y","accel_z","control_x","control_speed"
"1","0.050263","-0.000183105","-0.00012207","0.00012207","-0.00524902","-0.0078125","-0.992737","0","0"
"2","0.091723","-6.10352e-05","-0.00012207","6.10352e-05","-0.00732422","-0.00268555","-0.995483","0","0"
"3","0.079757","-6.10352e-05","-0.00012207","6.10352e-05","-0.00628662","-0.0020752","-0.997253","0","0"
"4","0.105239","-6.10352e-05","-6.10352e-05","0","-0.00640869","-0.00128174","-0.997864","0","0"
"5","0.118276","-0.00012207","0","0","-0.00524902","-0.00158691","-0.997131","0","0"
"6","0.086259","-0.00012207","-6.10352e-05","-6.10352e-05","-0.00531006","0.000549316","-0.99939","0","0"
"7","0.087436","-0.000183105","-0.00012207","0","-0.00341797","-0.0022583","-1.00055","0","0"
"8","0.133782","-0.000244141","0","0","-0.0032959","-0.0020752","-1.0022","0","0"
"9","0.076241","-0.000183105","0","0","-0.00384521","-0.000732422","-1.00043","0","0"
"10","0.082524","-0.00012207","-6.10352e-05","0.00012207","-0.00402832","-0.000427246","-1.00122","0","0"
"11","0.090471","-0.00012207","6.10352e-05","6.10352e-05","-0.00506592","-0.00140381","-0.998779","0","0"
"12","0.0958","0","0","0","-0.00518799","0.000305176","-0.999023","0","0"
"13","0.101483","0","0","-0.00012207","-0.0045166","-0.0012207","-0.997131","0","0"
"14","0.087231","0","0","-0.000183105","-0.00317383","-0.00250244","-0.998657","0","0"
"15","0.076285","0","0","-0.000305176","-0.00427246","-0.00305176","-0.998535","0","0"
"16","0.076478","0.00012207","6.10352e-05","-0.000244141","-0.00384521","-0.00244141","-1.00098","0","0"
"17","0.079997","6.10352e-05","6.10352e-05","-0.000183105","-0.0057373","-0.00286865","-0.999329","0","0"
"18","0.075984","0","6.10352e-05","0","-0.00653076","-0.00177002","-0.998779","0","0"
"19","0.098758","0","0.000244141","0","-0.00598145","-0.00213623","-0.99823","0","0"
"20","0.095302","0","0.000183105","6.10352e-05","-0.00457764","-0.00238037","-0.999146","0","0"
"21","0.082209","0","0","0.000183105","-0.00378418","-0.00256348","-0.99762","0","0"
"22","0.091756","-6.10352e-05","0","0.000183105","-0.00299072","-0.00195312","-0.998718","0","0.0393701"
